Name,Quantity,Component
"U1",1," Arduino Uno R3"
"DIST1",1," Ultrasonic Distance Sensor (4-pin)"
"PIEZO1",1," Piezo"
"SW1",1," DIP Switch SPST x 4"
"R1, R2, R3",3,"1 kΩ Resistor"
"D1",1,"Red LED"
"D2",1,"Yellow LED"
"D3",1,"Green LED"
